trial, epigraphRestored, ave_fitness, ave_generations, num_runs, population_size, generations, crossover_rate, mutation_rate, elite_size, improveThresh, stagThresh,best_epigraph,ave_fitness,ave_generations,population_size,generations,crossover_rate,mutation_rate,elite_size,num_runs,improveThresh,stagThresh
97, τους αλεξανδρε ουδις αι,0.7328033259486169,51.04,25.0,100.0,250.0,0.6,0.01,10.0,0.1,50.0,,,,,,,,,,,
98, ποις αλεξανδρε ουδις οι,0.6192676134133273,21.0,10.0,20.0,1000.0,0.3,0.05,1.0,0.1,20.0,,,,,,,,,,,
99, ου αλεξανδρε ουδις του,0.8030175130896205,21.2,25.0,250.0,250.0,0.3,0.1,1.0,0.1,20.0,,,,,,,,,,,
100, την αλεξανδρε ουδις τον,0.635108721289276,21.0,15.0,20.0,500.0,0.9,0.01,2.0,0.1,20.0,,,,,,,,,,,
91, αγενειων αλεξανδρε ουδις αρτεμισιου,0.9830881375020472,105.7,1000.0,250.0,0.1,0.0,5.0,10.0,0.001,100.0,,,,,,,,,,,
92, ιλλουστριου αλεξανδρε ουδις δασιος,0.8917395111136261,26.066666666666663,500.0,500.0,0.1,0.01,0.0,15.0,0.01,20.0,,,,,,,,,,,
93, πατρος αλεξανδρε ουδις δικαισιν,0.6681790142452352,53.3,50.0,1000.0,0.9,0.1,1.0,10.0,0.01,50.0,,,,,,,,,,,
94, βαρλαας αλεξανδρε ουδις τεκνοις,0.9088885304245083,104.26666666666668,500.0,250.0,0.3,0.05,0.0,15.0,0.001,100.0,,,,,,,,,,,
95, ερως αλεξανδρε ουδις αντικερασος,0.9361612698331968,51.12,1000.0,250.0,0.6,0.1,10.0,25.0,0.1,50.0,,,,,,,,,,,
96, ριαι αλεξανδρε ουδις δυο,0.803850102433582,101.0,250.0,1000.0,0.6,0.0,2.0,10.0,0.1,100.0,,,,,,,,,,,
97, ευξομενος αλεξανδρε ουδις οιηι,0.7328033259486169,51.04,100.0,250.0,0.6,0.0,10.0,25.0,0.1,50.0,,,,,,,,,,,
98, ελιου αλεξανδρε ουδις τεροις,0.6192676134133273,21.0,20.0,1000.0,0.3,0.05,0.0,10.0,0.1,20.0,,,,,,,,,,,
99, επιγαμιαν αλεξανδρε ουδις ουετιου,0.8030175130896205,21.2,250.0,250.0,0.3,0.1,0.0,25.0,0.1,20.0,,,,,,,,,,,
100, παρουσιν αλεξανδρε ουδις ουαλεντινος,0.635108721289276,21.0,20.0,500.0,0.9,0.01,2.0,15.0,0.1,20.0,,,,,,,,,,,
